facility_type,loan_count,default_count,default_rate,total_exposure,average_exposure,average_lgd,empirical_loss_proxy,average_interest_rate,loss_proxy_rate
Small Business Retail Loan,15365,4820,0.3136999674585096,240292650,15638.961926456232,0.8,66090160.0,0.15990214773836642,0.27504028941376274
Medical Loan,15342,3610,0.2353017859470734,138790800,9046.460696128275,0.7,26107602.5,0.14092842523790902,0.18810758710231515
Other Personal Loan,85041,19552,0.22991263037828813,880898975,10358.520889923684,0.7,164150700.0,0.14731339706729693,0.18634452378605618
Personal Loan - Debt Consolidation,770245,173693,0.22550357353828976,11748520950,15252.96619906653,0.7,1981701627.5,0.13678076806730324,0.16867669010710662
Lifestyle Loan,20561,4472,0.217499148874082,153341625,7457.887505471524,0.75,29702231.25,0.14439212100578766,0.19369972928094378
Consumer Durable / Major Purchase,28909,5885,0.2035698225466118,344815500,11927.617696910997,0.7,62506097.5,0.12811107613545955,0.181274036404976
Home Improvement Loan,85946,16536,0.1923998789937868,1219699550,14191.46382612338,0.45000000000000007,119673123.75,0.12859681776929702,0.09811688767942892
Credit Card Refinance,289796,52738,0.1819831881737498,4295447400,14822.314317657938,0.75,621325125.0,0.11836779493160707,0.14464735966735387
Auto Loan,14330,2277,0.15889741800418702,127224275,8878.176901605024,0.4,9656750.0,0.12128936496859735,0.07590336042394426
